iter	Passed	Remaining
0	105	105304
1	106	52984
2	106	35516
3	107	26799
4	108	21573
5	109	18076
6	109	15581
7	110	13717
8	111	12261
9	112	11099
10	112	10150
11	113	9359
12	114	8688
13	115	8110
14	115	7608
15	116	7174
16	117	6786
17	118	6447
18	118	6141
19	119	5863
20	120	5617
21	121	5391
22	122	5182
23	122	4994
24	123	4819
25	124	4657
26	125	4506
27	125	4371
28	126	4240
29	127	4118
30	128	4003
31	128	3897
32	129	3799
33	130	3706
34	131	3617
35	131	3532
36	132	3452
37	133	3376
38	134	3307
39	134	3239
40	135	3173
41	136	3112
42	137	3053
43	138	3000
44	138	2945
45	139	2894
46	140	2846
47	141	2799
48	141	2753
49	142	2709
50	143	2668
51	144	2628
52	144	2590
53	145	2552
54	146	2524
55	147	2489
56	148	2457
57	149	2424
58	150	2395
59	151	2366
60	151	2336
61	152	2309
62	153	2281
63	154	2254
64	154	2229
65	155	2203
66	156	2179
67	157	2155
68	158	2134
69	158	2111
70	159	2089
71	160	2068
72	161	2046
73	161	2025
74	162	2005
75	163	1985
76	164	1966
77	164	1947
78	165	1929
79	166	1911
80	166	1892
81	167	1875
82	167	1855
83	168	1839
84	169	1824
85	170	1808
86	170	1793
87	171	1778
88	172	1763
89	172	1748
90	173	1735
91	174	1721
92	175	1708
93	175	1695
94	176	1681
95	177	1668
96	177	1655
97	178	1643
98	179	1631
99	180	1620
100	180	1609
101	181	1599
102	182	1589
103	183	1577
104	183	1567
105	184	1557
106	185	1546
107	185	1536
108	186	1526
109	187	1517
110	188	1509
111	189	1500
112	189	1490
113	190	1481
114	191	1472
115	192	1463
116	192	1453
117	193	1444
118	194	1436
119	194	1428
120	195	1419
121	195	1410
122	196	1402
123	197	1394
124	198	1386
125	198	1379
126	199	1371
127	200	1363
128	200	1356
129	201	1349
130	202	1342
131	202	1334
132	203	1328
133	204	1321
134	205	1315
135	205	1308
136	206	1302
137	207	1296
138	208	1290
139	209	1284
140	209	1278
141	210	1270
142	211	1265
143	211	1258
144	212	1252
145	213	1247
146	214	1242
147	214	1236
148	215	1230
149	216	1225
